name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Gotv Aerials,GAS,code128,Hardware Materials,HW001,U002,U002,U002,383,479,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 pin connectors,2PC,code128,Hardware Materials,HW001,U002,U002,U002,139,174,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2*1 RCA,RCA,code128,Hardware Materials,HW001,U002,U002,U002,29,36,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 pin connectors,PC,code128,Hardware Materials,HW001,U002,U002,U002,255,319,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full moon mix,FMX,code128,Hardware Materials,HW001,U002,U002,U002,2030,2538,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600*600 Squire led,SL,code128,Hardware Materials,HW001,U002,U002,U002,2146,2683,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatelight angel,GA,code128,Hardware Materials,HW001,U002,U002,U002,986,1233,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatelight straight,GS,code128,Hardware Materials,HW001,U002,U002,U002,986,1233,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ft dust proof led,4DPL,code128,Hardware Materials,HW001,U002,U002,U002,522,653,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ft dust proof led,2DPL,code128,Hardware Materials,HW001,U002,U002,U002,406,508,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3watts downlighter,3D,code128,Hardware Materials,HW001,U002,U002,U002,151,189,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3watts downlighters,3DS,code128,Hardware Materials,HW001,U002,U002,U002,209,261,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3*3 downlighters,3DDS,code128,Hardware Materials,HW001,U002,U002,U002,290,363,10,VAT,inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
