name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Details,Invoice Details,Supplier Name,Supplier Part No,Supplier Price,Supplier 2 Name,Supplier 2 Part No,Supplier 2 Price,Supplier 3 Name,Supplier 3 Part No,Supplier 3 Price,Supplier 4 Name,Supplier 4 Part No,Supplier 4 Price,Supplier 5 Name,Supplier 5 Part No,Supplier 5 Price
Gotv Aerials,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 pin connectors,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2*1 RCA,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 pin connectors,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full moon mix,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600*600 Squire led,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatelight angel,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatelight straight,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ft dust proof led,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ft dust proof led,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3watts downlighter,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3watts downlighters,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3*3 downlighters,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 watts downlighters,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 watts,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6*3 downlighters,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 watts,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18watts,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20mm pipes,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini trunking,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100*100 PVC adaptor box,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150*150 PVC adaptor box,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200*200 PVC adaptor box,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4*4 metallic adaptor box,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6*6 metallic,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9*9 metallic,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coloured bulb 5W,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candle bulb screw type 12W,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 ft tubes coloured,,code128,,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 watts A/C,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 watts A/C,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 watts A/C,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 watts CUP A/C,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 watts A/C,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 watts A/C,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 watts UFO A/C,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 watts rechargeable,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150 watts rechargeable,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 watts intelligent,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 watts intelligent,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 watts floodlight,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 watts floodlight,,code128,DPLIGHTS,HW001,U002,U002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
